lr-SGD,step,train_loss,epoch,val_loss,val_acc
0.004014210957518097,49,,,,
,49,1.5327950716018677,0,,
,78,,0,1.654549241065979,0.4316999912261963
0.004058001004917433,99,,,,
,99,1.4453755617141724,1,,
0.004131349063076661,149,,,,
,149,1.3345307111740112,1,,
,157,,1,1.3316941261291504,0.5328999757766724
0.004234209910212408,199,,,,
,199,0.8267364501953125,2,,
,236,,2,1.0986238718032837,0.6244999766349792
0.004366520128818316,249,,,,
,249,0.9034143686294556,3,,
